iter	Logloss
0	0.6882583943
1	0.6839082536
2	0.6803346131
3	0.6760228035
4	0.6718008509
5	0.6682822746
6	0.6646374266
7	0.6609023531
8	0.6569564583
9	0.653549632
10	0.6495626787
11	0.6459400186
12	0.6427387797
13	0.6395700486
14	0.6364731883
15	0.6329493783
16	0.6301579876
17	0.6273834037
118	0.6239906598
19	0.6208188394
20	0.6181403173
21	0.6155003735
22	0.6126942981
23	0.6100076671
24	0.6076509373
25	0.6051683276
26	0.6025543197
27	0.6000263445
28	0.5977406895
29	0.5951418632
30	0.59255882231	0.5924061024
32	0.5901590874
3333	0.5858205083
34	0.58375377035	0.5845007496
36	0.5824187797
37	0.5803092039
38	0.5780916376
39	0.5759758331
40	0.5744742849
41	0.5726061584
42	0.5708881131
43	0.5690205026
44	0.5673965896
45	0.5654320825
46	0.563582753
47	0.561871047
48	0.5602285582
49	0.5584413325
50	0.5565561045
51	0.5551436024
52	0.5534738395
53	0.5520682666
54	0.5506792792
55	0.5491972282
56	0.5478881097
57	0.5465111376
58	0.5452164669
59	0.5438456131
60	0.5425308186
61	0.5412187146
62	0.5398282161
63	0.538527464
64	0.537089715
65	0.5359671659
66	0.5347932014
67	0.5336729373
68	0.5325436433
69	0.5317758413
70	0.5308140986
71	0.5297641943
72	0.5285481761
73	0.5274168181
74	0.5262647835
75	0.525344947
76	0.5243002763
77	0.5235411357
78	0.5224892411
79	0.5214667214
80	0.5204661684
81	0.5196709818
82	0.5189688219
83	0.5181591137
84	0.517467716
85	0.5167644135
86	0.5160396603
87	0.5152753966
88	0.5143895421
89	0.5136738558
90	0.5129434635
91	0.5122251603
92	0.5114987486
93	0.5105968982
94	0.5100108005
95	0.5092584047
96	0.5085124589
97	0.5077352953
98	0.507075189
99	0.5063182598
100	0.5056599227
101	0.5049420986
102	0.504161065
103	0.5034987474
104	0.5028183699
105	0.5023236403
106	0.5018979437
107	0.5012237581
108	0.5005692541
109	0.5000513785
110	0.4995421642
111	0.4988648458
112	0.4983937046
113	0.4978864069
114	0.4972535747
115	0.4966830675
116	0.4963635554
117	0.4959719882
118	0.4953028889
119	0.4948428416
120	0.494281438
121	0.122	0.499836768
123	0.4993722204
124	0.4991357621
125	0.4987560364
126	0.4983523241
127	0.4980283701
128	0.4975671576
129	0.4971883776
130	0.496703457
131	0.4962975321
132	0.495874396
133	0.4954891702
134	0.4951211293
135	0.4947848025
136	0.4944345745
137	0.4940548099
138	0.4935837651
139	0.4931634411
140	0.49271961
141	0.4923434133
142	0.4919777264
143	0.4915164586
144	0.4911776419
145	0.4908294557
146	0.4904357358
147	0.4901176605
148	0.4898397476
149	0.4895479628
150	0.4892412334
151	0.488151	0.50152	0.488152	0.5014663572
153	0.501249961
154	0.5010375926
155	0.500156	0.48156	0.5005061485
157	0.5002112144
158	0.4999891109
159	0.4996236635
160	0.499389407
161	0.4990651309
162	0.498163	0.4852691838
164	0.4850336278
165	0.4848680933
166	0.4845120793
167	0.4842706337
168	0.4840154687
169	0.4837578346
170	0.4835317348
171	0.4832283261
172	0.4828890482
173	0.4825999637
174	0.4822810276
175	0.4820645676
176	0.4818938895
177	0.4815826741
178	0.4814754746
179	0.4812527888
180	0.4809815302
181	0.4807992777
182	0.4805476645
183	0.4803238458
184	0.4800153106
185	0.4797010449
186	0.4795160329
187	0.4792539778
188	0.4790410684
189	0.4787481526
190	0.478543142
191	0.4782323781
192	0.4780396666
193	0.4779126712
194	0.4777682732
195	0.4775236333
196	0.4772142768
197	0.4769778391
198	0.4768424925
199	0.476778695
200	0.4766102172
201	0.4764382616
202	0.4762742958
203	0.4761054105
204	0.4758250577
205	0.4756229711
206	0.4754060519
207	0.4751627526
208	0.4749767376
209	0.474742013
210	0.474515011
211	0.474317871
212	0.4740415392
213	0.4739981838
214	0.4737946912
215	0.4735569691
216	0.4733215771
217	0.4732055769
218	0.4730016608
219	0.4727970345
220	0.4726608504
221	0.4726184307
222	0.4723625735
223	0.4723128386
224	0.472098091
225	0.4719051084
226	0.4717556463
227	0.4716139623
228	0.4715350772
229	0.4713473619
230	0.4711726297
231	0.4709678881
232	0.4707589579
233	0.4706633493
234	0.470536599
235	0.4703918357
236	0.4702521185
237	0.4700185274
238	0.4699818948
239	0.4697823895
240	0.4696527928
241	0.4695837717
242	0.4694840871
243	0.4693381621
244	0.4692892389
245	0.4691002977
246	0.4689910025
247	0.4688431148
248	0.4687072784
249	0.4685716825
250	0.4683830641
251	0.4682005311
252	0.4680415111
253	0.4680015035
254	0.4678747255
255	0.4677276964
256	0.4675894269
257	0.4675109362
258	0.4674804651
259	0.4673090687
260	0.4671787729
261	0.4671449678
262	0.4670718128
263	0.4669056111
264	0.466791042
265	0.466620975
266	0.46644069
267	0.4662996687
268	0.466192406
269	0.4660346219
270	0.4658393853
271	0.4657146203
272	0.4655484845
273	0.4654456194
274	0.4652937532
275	0.4651677376
276	0.4650526041
277	0.4648471303
278	0.4646170859
279	0.4644616779
280	0.4643625263
281	0.4641826544
282	0.4640248624
283	0.4639542769
284	0.4638343602
285	0.4636850891
286	0.4635377341
287	0.463522972
288	0.4633869553
289	0.4632220638
290	0.4630647215
291	0.4629272936
292	0.4628144741
293	0.462711475
294	0.4625042472
295	0.4623241798
296	0.4622234764
297	0.4621387818
298	0.4620257414
299	0.461911535
548221
2002
