iter	Passed	Remaining
0	1	573
1	10	1564
2	11	111733	21	1608
4	23	138055	24	119566	40	1708
7	45	1668
8	46	1513
9	47	1388
10	60	1592
11	61	1486
12	72	1603
14	77	1478
15	87	1546
16	94	1564
17	98	1541
18	104	1543
19	105	1477
20	106	1416
21	117	1490
22	121	1465
23	125	1444
24	126	1390
25	127	1344
26	136	1382
27	141	1371
28	146	1366
29	151	1364
30	156	1355
31	157	131	156	1311
32	133	170	1332
34	172	1306
35	174	135	175	1286
36	181	1291
37	186	1283
38	190	1276
39	191	1246
40	198	1251
41	202	1241
42	203	1214
43	204	1188
44	217	1232
45	221	1224
46	226	1217
47	227	1193
48	228	1170
49	240	1200
50	245	1198
51	251	1198
52	257	1199
53	262	1194
54	266	1187
55	272	1186
56	277	1181
57	278	1162
58	289	1180
59	293	1174
60	298	1169
61	304	1170
62	310	1167
63	313	1156
64	316	1142
65	321	1140
66	322	1122
67	323	1104
68	334	1118
69	334	1100
70	336	1084
71	337	1069
72	339	1054
73	340	1040
74	368	1104
75	375	1107
76	379	1100
77	384	1094
78	388	1085
79	394	1084
80	400	1082
81	401	1068
82	403	1054
83	404	1041
84	406	1028
85	407	1014
86	435	1066
87	436	1051
88	437	1037
89	438	1023
90	439	1009
91	440	996
92	441	982
93	442	970
94	443	957
95	444	945
96	447	935
97	447	923
98	448	911
99	449	899
100	450	888
101	451	877
102	452	866
103	454	857
104	457	849
105	459	840
106	459	829
107	462	822
108	464	813
109	466	805
110	468	797
111	470	789
112	473	782
113	122	478	114	479	771
115	124	487	682
125	493	681
126	498	678
127	499	670
128	507	673
129	511	668
130	518	669
131	520	662
132	521	655
133	525	650
134	526	643
135	536	646
136	536	638
137	537	631
138	538	624
139	551	630
140	552	623
141	558	621
142	561	616
143	565	612
144	571	610
145	576	607
146	581	605
147	582	598
148	583	591
149	584	584
150	606	598
151	612	596
152	617	593
153	618	586
154	619	579
155	620	572
156	641	584
157	644	579
158	650	576
159	651	569
160	658	568
161	662	564
162	664	558
163	665	551
164	677	554
165	684	552
166	688	548
167	689	541
168	690	535
169	691	528
170	703	530
171	709	527
172	715	525
173	716	518
174	717	512
175	718	506
176	719	500171	727	541
172	728	535
173	730	528
174	744	531
175	745	525
176	755	525
177	759	520
178	759	513
179	764	509
180	768	505
181	772	500
182	777	496
183	781	492
184	785	488
185	790	484
186	795	480
187	801	477
188	806	473
189	808	467
190	813	464
191	819	460
192	824	457
193	827	452
194	833	448
195	837	444
196	840	439
197	845	435
198	851	431
199	851	425
200	858	422
201	859	417
202	866	414
203	867	408
204	875	405
205	883	403
206	890	399
207	891	394
208	892	388
209	894	383
210	895	377
211	896	372
212	897	366
213	898	360
214	910	359
215	915	356
216	919	351
217	924	347
218	927	342
219	931	338
220	933	333
221	933	328
222	941	324
223	943	319
224	947	315
225	951	311
226	955	307
227	959	303
228	960	297
229	970	295
230	973	290
231	981	287
232	982	282
233	989	279
234	994	274
235	999	271
236	1002	266
237	1006	262
238	1007	257
239	1014	253
240	1020	249
241	1021	244
242	1022	239
243	1024	235
244	1029	231
245	1031	226
246	1032	221
247	1034	216
248	1035	212
249	1037	207
250	1038	202
251	1040	198
252	1065	198
253	1066	193
254	1068	188
255	1069	183
256	1071	179
257	1073	174
258	1073	170
259	1075	165
260	1076	160
261	1077	156
262	1079	151
263	1080	147
264	1082	142
265	1097	140
266	1100	136
267	1102	131
268	1103	127
269	1104	122
270	1105	118
271	1106	113
272	1106	109
273	1107	105
274	1108	100
275	1109	96
276	1110	92
277	1111	87
278	1112	83
279	1113	79
280	1113	75
281	1114	71
282	1115	67
283	1116	62
284	1117	58
285	1118	54
286	1119	50
287	1120	46
288	1120	42
289	1121	38
290	1122	34
291	1123	30
292	1124	26
293	1125	22
294	1126	19
295	1127	15
296	1128	11
297	1129	7
298	1130	3
299	1131	0
